,state,lat,lng,population,location,county
757,Kentucky,36.8941,-87.4904,72766,"(36.8941, -87.4904)",Christian County
758,Mississippi,32.4043,-88.6626,72741,"(32.4043, -88.6626)",Lauderdale County
759,Oklahoma,35.2066,-96.9484,72734,"(35.2066, -96.9484)",Pottawatomie County
760,Kansas,39.2966,-96.7352,72105,"(39.2966, -96.7352)",Riley County
761,Oklahoma,35.9026,-96.3709,72076,"(35.9026, -96.3709)",Creek County
762,New Mexico,35.5807,-108.2618,72073,"(35.5807, -108.2618)",McKinley County
763,Indiana,39.4816,-86.4462,71757,"(39.4816, -86.4462)",Morgan County
764,Alabama,34.4598,-85.8041,71680,"(34.4598, -85.8041)",DeKalb County
765,Montana,47.1224,-112.3904,71487,"(47.1224, -112.3904)",Lewis and Clark County
766,North Carolina,36.4146,-80.688,71429,"(36.4146, -80.688)",Surry County
767,Indiana,40.0508,-86.4687,71235,"(40.0508, -86.4687)",Boone County
768,Massachusetts,42.5831,-72.5918,70980,"(42.5831, -72.5918)",Franklin County
769,Tennessee,36.1753,-82.8458,70399,"(36.1753, -82.8458)",Greene County
770,Wisconsin,44.476,-89.5014,70281,"(44.476, -89.5014)",Portage County
771,Virginia,37.2431,-76.5635,70238,"(37.2431, -76.5635)",York County
772,Texas,33.2159,-97.6545,70062,"(33.2159, -97.6545)",Wise County
773,Louisiana,29.8967,-91.7308,69958,"(29.8967, -91.7308)",Iberia Parish
774,Florida,30.2242,-82.6215,69832,"(30.2242, -82.6215)",Columbia County
775,North Carolina,36.0828,-78.2857,69680,"(36.0828, -78.2857)",Franklin County
776,North Dakota,48.2217,-101.5418,69532,"(48.2217, -101.5418)",Ward County
777,Georgia,33.0335,-85.0284,69527,"(33.0335, -85.0284)",Troup County
778,Oregon,42.6864,-121.6501,69506,"(42.6864, -121.6501)",Klamath County
779,South Carolina,34.1537,-82.1259,69309,"(34.1537, -82.1259)",Greenwood County
780,Texas,32.5481,-94.3715,69098,"(32.5481, -94.3715)",Harrison County
781,Minnesota,44.0346,-94.067,69022,"(44.0346, -94.067)",Nicollet County
782,Texas,28.0092,-97.5188,68942,"(28.0092, -97.5188)",San Patricio County
783,North Carolina,34.8357,-76.6589,68353,"(34.8357, -76.6589)",Carteret County
784,Maryland,39.6214,-78.6976,68161,"(39.6214, -78.6976)",Allegany County
785,Michigan,42.9537,-84.1467,68124,"(42.9537, -84.1467)",Shiawassee County
786,Georgia,34.7356,-85.301,68065,"(34.7356, -85.301)",Walker County
787,Georgia,34.9036,-85.1382,68052,"(34.9036, -85.1382)",Catoosa County
788,California,39.1,-122.7534,68024,"(39.1, -122.7534)",Lake County
789,New York,42.9128,-75.6696,68020,"(42.9128, -75.6696)",Madison County
790,Kentucky,38.3994,-85.4483,67997,"(38.3994, -85.4483)",Oldham County
791,New Mexico,32.6132,-105.7414,67850,"(32.6132, -105.7414)",Otero County
792,Kansas,37.7812,-96.839,67618,"(37.7812, -96.839)",Butler County
793,Kentucky,37.054,-88.7128,67573,"(37.054, -88.7128)",McCracken County
794,South Carolina,34.4834,-82.0057,67456,"(34.4834, -82.0057)",Laurens County
795,Georgia,33.2609,-84.2841,67415,"(33.2609, -84.2841)",Spalding County
796,Maine,46.6589,-68.5989,67237,"(46.6589, -68.5989)",Aroostook County
797,Minnesota,44.3543,-93.2967,67152,"(44.3543, -93.2967)",Rice County
798,Mississippi,31.6225,-89.1688,67152,"(31.6225, -89.1688)",Jones County
799,Illinois,37.7303,-88.9299,67120,"(37.7303, -88.9299)",Williamson County
800,Arkansas,34.2683,-91.9304,66934,"(34.2683, -91.9304)",Jefferson County
801,Michigan,43.311,-85.1525,66901,"(43.311, -85.1525)",Montcalm County
802,Missouri,37.8102,-90.4722,66814,"(37.8102, -90.4722)",Saint Francois County
803,Michigan,42.9451,-85.0746,66663,"(42.9451, -85.0746)",Ionia County
804,Oklahoma,35.6162,-95.3795,66606,"(35.6162, -95.3795)",Muskogee County
805,Indiana,40.5158,-85.6547,66560,"(40.5158, -85.6547)",Grant County
806,Minnesota,46.4824,-94.0709,66558,"(46.4824, -94.0709)",Crow Wing County
807,Ohio,40.0158,-80.9885,66554,"(40.0158, -80.9885)",Belmont County
808,Indiana,39.8644,-85.0098,66522,"(39.8644, -85.0098)",Wayne County
809,Michigan,46.4313,-87.6416,66376,"(46.4313, -87.6416)",Marquette County
810,Wisconsin,45.0694,-91.2799,66254,"(45.0694, -91.2799)",Chippewa County
811,North Carolina,36.2062,-81.163,66125,"(36.2062, -81.163)",Wilkes County
812,Arizona,35.3955,-109.4888,66054,"(35.3955, -109.4888)",Apache County
813,Washington,47.3483,-123.193,66053,"(47.3483, -123.193)",Mason County
814,West Virginia,39.2835,-80.3799,65862,"(39.2835, -80.3799)",Harrison County
815,South Dakota,43.2789,-96.7218,65801,"(43.2789, -96.7218)",Lincoln County
816,South Carolina,34.3388,-80.5902,65779,"(34.3388, -80.5902)",Kershaw County
817,Texas,26.5621,-98.7387,65716,"(26.5621, -98.7387)",Starr County
818,New York,43.561,-73.846,65684,"(43.561, -73.846)",Warren County
819,Wisconsin,43.4267,-89.9482,65664,"(43.4267, -89.9482)",Sauk County
820,Illinois,39.9879,-91.1885,65583,"(39.9879, -91.1885)",Adams County
821,Georgia,31.8282,-81.4949,65550,"(31.8282, -81.4949)",Liberty County
822,Pennsylvania,40.8121,-79.4646,65538,"(40.8121, -79.4646)",Armstrong County
823,California,40.1256,-122.2341,65484,"(40.1256, -122.2341)",Tehama County
824,Ohio,40.5872,-83.1609,65366,"(40.5872, -83.1609)",Marion County
825,Georgia,32.3674,-81.3414,65314,"(32.3674, -81.3414)",Effingham County
826,Minnesota,46.8923,-96.4906,65307,"(46.8923, -96.4906)",Clay County
827,Ohio,40.385,-80.761,65280,"(40.385, -80.761)",Jefferson County
828,Kentucky,37.1039,-84.5772,65145,"(37.1039, -84.5772)",Pulaski County
829,Pennsylvania,40.9182,-75.7088,65018,"(40.9182, -75.7088)",Carbon County
830,Alabama,33.8033,-87.2973,64978,"(33.8033, -87.2973)",Walker County
831,Michigan,43.6406,-84.8468,64938,"(43.6406, -84.8468)",Isabella County
832,Pennsylvania,41.0486,-76.4052,64924,"(41.0486, -76.4052)",Columbia County
833,Oregon,43.1742,-124.0594,64908,"(43.1742, -124.0594)",Coos County
834,New Jersey,39.5876,-75.3491,64840,"(39.5876, -75.3491)",Salem County
835,Texas,31.616,-94.6159,64768,"(31.616, -94.6159)",Nacogdoches County
836,California,36.6057,-121.075,64753,"(36.6057, -121.075)",Monterey County
837,New Mexico,33.3633,-104.4669,64701,"(33.3633, -104.4669)",Chaves County
838,North Carolina,35.4026,-81.9198,64680,"(35.4026, -81.9198)",Rutherford County
839,Tennessee,36.2171,-83.2667,64531,"(36.2171, -83.2667)",Hamblen County
840,Mississippi,31.206,-89.5087,64425,"(31.206, -89.5087)",Lamar County
841,Indiana,38.0922,-87.2721,64065,"(38.0922, -87.2721)",Warrick County
842,New Hampshire,43.5179,-71.4227,63914,"(43.5179, -71.4227)",Belknap County
843,South Carolina,33.4343,-79.3326,63594,"(33.4343, -79.3326)",Georgetown County
844,North Carolina,35.4752,-79.1715,63560,"(35.4752, -79.1715)",Lee County
845,Arkansas,35.4479,-93.0345,63475,"(35.4479, -93.0345)",Pope County
846,Ohio,40.2994,-83.3716,63411,"(40.2994, -83.3716)",Union County
847,South Carolina,34.3325,-79.9577,63025,"(34.3325, -79.9577)",Darlington County
848,North Carolina,35.3119,-80.251,62723,"(35.3119, -80.251)",Stanly County
849,Ohio,40.3988,-82.4215,62657,"(40.3988, -82.4215)",Knox County
850,Michigan,42.595,-85.309,62581,"(42.595, -85.309)",Barry County
851,Nebraska,40.8726,-98.5022,62575,"(40.8726, -98.5022)",Hall County
852,Texas,32.4299,-97.8323,62459,"(32.4299, -97.8323)",Hood County
853,Oklahoma,36.3791,-97.7827,62456,"(36.3791, -97.7827)",Garfield County
854,Kentucky,37.1107,-84.1178,62442,"(37.1107, -84.1178)",Laurel County
855,North Carolina,35.556,-82.9822,62152,"(35.556, -82.9822)",Haywood County
856,Washington,46.2298,-118.4784,62150,"(46.2298, -118.4784)",Walla Walla County
857,New York,42.7281,-77.7755,61980,"(42.7281, -77.7755)",Livingston County
858,Kansas,37.953,-98.086,61881,"(37.953, -98.086)",Reno County
859,Colorado,39.5993,-107.9039,61683,"(39.5993, -107.9039)",Garfield County
860,North Carolina,34.5249,-77.9052,61592,"(34.5249, -77.9052)",Pender County
861,Tennessee,35.9504,-84.9984,61552,"(35.9504, -84.9984)",Cumberland County
862,New York,42.2501,-73.6318,61469,"(42.2501, -73.6318)",Columbia County
863,New York,43.3137,-73.4308,61310,"(43.3137, -73.4308)",Washington County
864,Ohio,39.3339,-82.0452,61276,"(39.3339, -82.0452)",Athens County
865,New Mexico,32.4714,-104.3044,61264,"(32.4714, -104.3044)",Eddy County
866,North Carolina,36.304,-78.6527,61161,"(36.304, -78.6527)",Granville County
867,Tennessee,35.4973,-89.7566,61116,"(35.4973, -89.7566)",Tipton County
868,Michigan,41.9144,-85.5278,60887,"(41.9144, -85.5278)",Saint Joseph County
869,Arkansas,35.5881,-94.2428,60593,"(35.5881, -94.2428)",Crawford County
870,Vermont,43.5801,-73.0364,60585,"(43.5801, -73.0364)",Rutland County
871,Virginia,36.8213,-79.3971,60541,"(36.8213, -79.3971)",Pittsylvania County
872,New York,43.4192,-74.9624,60293,"(43.4192, -74.9624)",Herkimer County
873,Missouri,39.058,-90.96,60172,"(39.058, -90.96)",Lincoln County
874,Pennsylvania,41.7887,-76.5154,60159,"(41.7887, -76.5154)",Bradford County
875,Minnesota,46.4088,-95.708,60072,"(46.4088, -95.708)",Otter Tail County
876,Texas,32.5637,-95.8365,60053,"(32.5637, -95.8365)",Van Zandt County
877,Vermont,44.2736,-72.6148,59768,"(44.2736, -72.6148)",Washington County
878,New York,42.6338,-75.0326,59678,"(42.6338, -75.0326)",Otsego County
879,Ohio,39.4553,-81.4953,59639,"(39.4553, -81.4953)",Washington County
880,West Virginia,37.4055,-81.1114,59530,"(37.4055, -81.1114)",Mercer County
881,Nevada,39.0206,-119.189,59435,"(39.0206, -119.189)",Lyon County
882,North Carolina,34.9916,-78.3714,59317,"(34.9916, -78.3714)",Sampson County
883,Alaska,60.2654,-151.5651,59235,"(60.2654, -151.5651)",Kenai Peninsula Borough
884,Alabama,33.9809,-86.5674,59077,"(33.9809, -86.5674)",Blount County
885,Missouri,36.9055,-94.3393,59019,"(36.9055, -94.3393)",Newton County
886,Pennsylvania,41.332,-75.0338,58996,"(41.332, -75.0338)",Pike County
887,Ohio,41.3562,-83.1464,58885,"(41.3562, -83.1464)",Sandusky County
888,Alabama,32.2884,-85.1849,58849,"(32.2884, -85.1849)",Russell County
889,Ohio,39.6419,-83.0244,58809,"(39.6419, -83.0244)",Pickaway County
890,Alabama,32.5349,-86.6427,58761,"(32.5349, -86.6427)",Autauga County
891,Mississippi,33.4729,-88.4433,58547,"(33.4729, -88.4433)",Lowndes County
892,Ohio,41.1463,-82.598,58518,"(41.1463, -82.598)",Huron County
893,Utah,41.521,-113.0821,58291,"(41.521, -113.0821)",Box Elder County
894,Maine,44.4999,-70.7566,58276,"(44.4999, -70.7566)",Oxford County
895,Wisconsin,43.4666,-89.3337,58272,"(43.4666, -89.3337)",Columbia County
896,Nevada,39.1511,-119.7476,58249,"(39.1511, -119.7476)",Carson City
897,New York,43.0009,-78.1937,58204,"(43.0009, -78.1937)",Genesee County
898,Kentucky,37.4691,-82.3958,58196,"(37.4691, -82.3958)",Pike County
899,Tennessee,35.4906,-86.0748,58080,"(35.4906, -86.0748)",Coffee County
900,Texas,31.8133,-95.6525,58077,"(31.8133, -95.6525)",Anderson County
901,Utah,37.8592,-113.2895,58068,"(37.8592, -113.2895)",Iron County
902,West Virginia,39.3076,-77.8628,58043,"(39.3076, -77.8628)",Jefferson County
903,Ohio,38.5984,-82.5368,57994,"(38.5984, -82.5368)",Lawrence County
904,Vermont,43.5799,-72.5862,57832,"(43.5799, -72.5862)",Windsor County
905,Texas,28.7426,-100.3145,57806,"(28.7426, -100.3145)",Maverick County
906,Georgia,34.5032,-84.8759,57785,"(34.5032, -84.8759)",Gordon County
907,Louisiana,30.2906,-92.412,57674,"(30.2906, -92.412)",Acadia Parish
908,Texas,30.0108,-95.9876,57463,"(30.0108, -95.9876)",Waller County
909,West Virginia,38.5086,-81.909,57347,"(38.5086, -81.909)",Putnam County
910,Kentucky,38.2916,-84.5839,57286,"(38.2916, -84.5839)",Scott County
911,Alabama,34.7005,-87.8049,57270,"(34.7005, -87.8049)",Colbert County
912,Louisiana,29.8465,-92.3242,57202,"(29.8465, -92.3242)",Vermilion Parish
913,Tennessee,36.4412,-82.9447,57107,"(36.4412, -82.9447)",Hawkins County
914,Minnesota,45.5025,-92.9083,56927,"(45.5025, -92.9083)",Chisago County
915,Texas,30.3324,-94.3902,56576,"(30.3324, -94.3902)",Hardin County
916,Mississippi,30.7688,-89.5896,56351,"(30.7688, -89.5896)",Pearl River County
917,Tennessee,36.2928,-82.1275,56315,"(36.2928, -82.1275)",Carter County
918,Missouri,36.6548,-93.0411,56202,"(36.6548, -93.0411)",Taney County
919,South Carolina,35.0481,-81.6206,56200,"(35.0481, -81.6206)",Cherokee County
920,West Virginia,39.51,-80.2434,56194,"(39.51, -80.2434)",Marion County
921,Mississippi,34.3568,-89.485,56172,"(34.3568, -89.485)",Lafayette County
922,Colorado,37.2866,-107.8433,55983,"(37.2866, -107.8433)",La Plata County
923,Maine,44.6648,-68.3583,55851,"(44.6648, -68.3583)",Hancock County
924,Colorado,39.6278,-106.6953,55650,"(39.6278, -106.6953)",Eagle County
925,Illinois,41.7562,-89.9141,55569,"(41.7562, -89.9141)",Whiteside County
926,Virginia,37.2053,-79.0966,55518,"(37.2053, -79.0966)",Campbell County
927,Tennessee,35.7348,-84.3119,55507,"(35.7348, -84.3119)",Loudon County
928,Oklahoma,35.0169,-97.8841,55314,"(35.0169, -97.8841)",Grady County
929,Georgia,30.9306,-81.6699,55105,"(30.9306, -81.6699)",Camden County
930,North Carolina,35.2388,-77.6413,55071,"(35.2388, -77.6413)",Lenoir County
931,Ohio,41.1239,-83.1277,55062,"(41.1239, -83.1277)",Seneca County
932,Tennessee,36.051,-83.4463,55017,"(36.051, -83.4463)",Jefferson County
933,California,38.0276,-119.9548,54993,"(38.0276, -119.9548)",Tuolumne County
934,Virginia,36.992,-79.8811,54838,"(36.992, -79.8811)",Franklin County
935,Tennessee,36.149,-87.3567,54563,"(36.149, -87.3567)",Dickson County
936,North Carolina,36.2311,-81.6964,54540,"(36.2311, -81.6964)",Watauga County
937,Kansas,38.7838,-97.65,54160,"(38.7838, -97.65)",Saline County
938,Missouri,38.7441,-93.8064,54025,"(38.7441, -93.8064)",Johnson County
939,Virginia,36.7244,-81.9598,53985,"(36.7244, -81.9598)",Washington County
940,Tennessee,35.8479,-84.5232,53777,"(35.8479, -84.5232)",Roane County
941,Missouri,37.8246,-92.2076,53726,"(37.8246, -92.2076)",Pulaski County
942,Nevada,41.1458,-115.3577,53600,"(41.1458, -115.3577)",Elko County
943,Alabama,31.4027,-85.9882,53559,"(31.4027, -85.9882)",Coffee County
944,Tennessee,35.4248,-84.6175,53532,"(35.4248, -84.6175)",McMinn County
945,Illinois,42.3231,-88.8234,53459,"(42.3231, -88.8234)",Boone County
946,Arizona,33.7997,-110.8116,53419,"(33.7997, -110.8116)",Gila County
947,Kentucky,37.872,-84.5809,53381,"(37.872, -84.5809)",Jessamine County
948,New York,43.1138,-74.4222,53280,"(43.1138, -74.4222)",Fulton County
949,Michigan,43.4641,-83.4167,53218,"(43.4641, -83.4167)",Tuscola County
950,Illinois,37.7851,-89.3821,53176,"(37.7851, -89.3821)",Jackson County
951,Oregon,45.9438,-123.0883,52865,"(45.9438, -123.0883)",Columbia County
952,Texas,32.047,-96.4725,52834,"(32.047, -96.4725)",Navarro County
953,Maryland,38.2128,-75.334,52827,"(38.2128, -75.334)",Worcester County
954,Virginia,38.486,-77.9558,52822,"(38.486, -77.9558)",Culpeper County
955,Texas,30.0615,-99.35,52810,"(30.0615, -99.35)",Kerr County
956,Texas,32.1077,-94.7618,52755,"(32.1077, -94.7618)",Rusk County
957,Iowa,41.3343,-93.5615,52709,"(41.3343, -93.5615)",Warren County
958,Illinois,41.2851,-88.4185,52624,"(41.2851, -88.4185)",Grundy County
959,Alabama,34.7795,-85.9994,52618,"(34.7795, -85.9994)",Jackson County
960,North Carolina,35.0175,-79.2373,52612,"(35.0175, -79.2373)",Hoke County
961,Oklahoma,36.7152,-95.9044,52579,"(36.7152, -95.9044)",Washington County
962,Ohio,40.846,-82.2707,52522,"(40.846, -82.2707)",Ashland County
963,Idaho,43.7841,-111.6592,52487,"(43.7841, -111.6592)",Madison County
964,Wisconsin,44.0816,-88.2181,52361,"(44.0816, -88.2181)",Calumet County
965,Louisiana,29.9055,-90.3582,52191,"(29.9055, -90.3582)",Saint Charles Parish
966,Louisiana,30.1291,-91.6083,51856,"(30.1291, -91.6083)",Saint Martin Parish
967,Wisconsin,42.8675,-90.7062,51842,"(42.8675, -90.7062)",Grant County
968,Wisconsin,44.4705,-88.9648,51822,"(44.4705, -88.9648)",Waupaca County
969,Virginia,38.4362,-78.8735,51784,"(38.4362, -78.8735)",City of Harrisonburg
970,Ohio,40.1333,-84.6194,51751,"(40.1333, -84.6194)",Darke County
971,Nevada,38.0422,-116.4719,51698,"(38.0422, -116.4719)",Nye County
972,Illinois,42.0426,-89.3207,51672,"(42.0426, -89.3207)",Ogle County
973,Michigan,41.9154,-85.9935,51604,"(41.9154, -85.9935)",Cass County
974,Kentucky,38.2391,-84.8771,51475,"(38.2391, -84.8771)",Franklin County
975,Texas,29.3557,-99.1101,51432,"(29.3557, -99.1101)",Medina County
976,Mississippi,33.425,-88.8793,51388,"(33.425, -88.8793)",Oktibbeha County
977,Pennsylvania,41.6487,-75.3033,51227,"(41.6487, -75.3033)",Wayne County
978,North Carolina,34.2657,-78.655,50827,"(34.2657, -78.655)",Columbus County
979,Texas,31.837,-95.1652,50824,"(31.837, -95.1652)",Cherokee County
980,Virginia,36.6828,-79.874,50760,"(36.6828, -79.874)",City of Martinsville
981,Indiana,39.1452,-84.9732,50709,"(39.1452, -84.9732)",Dearborn County
982,New Hampshire,43.8738,-71.2031,50679,"(43.8738, -71.2031)",Carroll County
983,Rhode Island,41.7173,-71.284,50658,"(41.7173, -71.284)",Bristol County
984,Maine,45.5139,-69.9589,50656,"(45.5139, -69.9589)",Piscataquis County
985,Texas,30.7927,-94.83,50536,"(30.7927, -94.83)",Polk County
986,Tennessee,35.5138,-86.4589,50533,"(35.5138, -86.4589)",Bedford County
987,Pennsylvania,41.401,-79.758,50475,"(41.401, -79.758)",Venango County
988,Tennessee,35.9966,-88.9326,50455,"(35.9966, -88.9326)",Gibson County
989,Texas,29.174,-98.0866,50381,"(29.174, -98.0866)",Wilson County
990,Oregon,44.642,-123.8682,50334,"(44.642, -123.8682)",Lincoln County
991,Maryland,39.068,-76.0202,50316,"(39.068, -76.0202)",Queen Anne's County
992,Texas,33.6672,-95.5712,50149,"(33.6672, -95.5712)",Lamar County
993,Michigan,43.5542,-85.8009,50130,"(43.5542, -85.8009)",Newaygo County
994,Nebraska,40.8552,-99.075,50103,"(40.8552, -99.075)",Buffalo County
995,Vermont,44.8576,-72.9131,50101,"(44.8576, -72.9131)",Franklin County
996,Oklahoma,35.9193,-97.4433,49919,"(35.9193, -97.4433)",Logan County
997,Minnesota,43.9869,-91.7792,49792,"(43.9869, -91.7792)",Winona County
998,Illinois,40.9318,-90.2132,49751,"(40.9318, -90.2132)",Knox County
999,Texas,30.7884,-98.1823,49684,"(30.7884, -98.1823)",Burnet County
1000,New York,42.9023,-74.4397,49624,"(42.9023, -74.4397)",Montgomery County
1001,Nevada,38.9123,-119.6162,49476,"(38.9123, -119.6162)",Douglas County
1002,Alabama,31.4318,-85.611,49455,"(31.4318, -85.611)",Dale County
1003,Georgia,32.4636,-82.9222,49407,"(32.4636, -82.9222)",Laurens County
1004,Texas,28.8935,-98.5272,49403,"(28.8935, -98.5272)",Atascosa County
1005,North Carolina,34.9365,-77.933,49312,"(34.9365, -77.933)",Duplin County
1006,Illinois,41.3531,-90.1314,49157,"(41.3531, -90.1314)",Henry County
1007,Louisiana,29.7207,-91.4486,49114,"(29.7207, -91.4486)",Saint Mary Parish
1008,Colorado,38.4731,-105.4395,49107,"(38.4731, -105.4395)",Fremont County
1009,North Carolina,35.9129,-77.5971,49067,"(35.9129, -77.5971)",Edgecombe County
1010,Indiana,39.9311,-85.3964,48913,"(39.9311, -85.3964)",Henry County
1011,North Carolina,36.2574,-77.6517,48772,"(36.2574, -77.6517)",Halifax County
1012,Oklahoma,34.9003,-94.7034,48525,"(34.9003, -94.7034)",Le Flore County
1013,Louisiana,31.1083,-93.1843,48452,"(31.1083, -93.1843)",Vernon Parish
1014,New York,42.1703,-76.3063,48344,"(42.1703, -76.3063)",Tioga County
1015,New Mexico,34.5742,-103.347,48327,"(34.5742, -103.347)",Curry County
1016,Louisiana,32.6016,-92.6649,48323,"(32.6016, -92.6649)",Lincoln Parish
1017,Idaho,43.2166,-112.3981,48253,"(43.2166, -112.3981)",Bingham County
1018,Kentucky,38.3596,-82.6878,48242,"(38.3596, -82.6878)",Boyd County
1019,Oklahoma,34.2509,-97.2858,48202,"(34.2509, -97.2858)",Carter County
1020,Ohio,40.3316,-84.2048,48145,"(40.3316, -84.2048)",Shelby County
1021,Kentucky,38.2155,-85.1948,48105,"(38.2155, -85.1948)",Shelby County
1022,New York,42.2765,-74.1227,48067,"(42.2765, -74.1227)",Greene County
1023,Idaho,48.3,-116.6011,47976,"(48.3, -116.6011)",Bonner County
1024,Arkansas,35.2057,-90.3078,47945,"(35.2057, -90.3078)",Crittenden County
1025,Arizona,31.5259,-110.8465,47838,"(31.5259, -110.8465)",Santa Cruz County
1026,Florida,30.7954,-85.2155,47704,"(30.7954, -85.2155)",Jackson County
1027,Minnesota,44.4097,-92.7229,47697,"(44.4097, -92.7229)",Goodhue County
1028,Texas,29.8929,-101.1517,47693,"(29.8929, -101.1517)",Val Verde County
1029,Pennsylvania,40.0065,-78.4903,47613,"(40.0065, -78.4903)",Bedford County
1030,New York,44.5929,-74.3038,47459,"(44.5929, -74.3038)",Franklin County
1031,Indiana,41.3986,-85.4175,47431,"(41.3986, -85.4175)",Noble County
1032,Oklahoma,35.9067,-94.9997,47412,"(35.9067, -94.9997)",Cherokee County
1033,New York,42.2574,-78.0276,47222,"(42.2574, -78.0276)",Allegany County
1034,Washington,46.9012,-117.523,47141,"(46.9012, -117.523)",Whitman County
1035,New York,42.4935,-75.6116,47096,"(42.4935, -75.6116)",Chenango County
1036,Illinois,39.5203,-88.2217,47076,"(39.5203, -88.2217)",Coles County
1037,Texas,29.7384,-94.61,47037,"(29.7384, -94.61)",Chambers County
1038,Wyoming,44.2482,-105.5482,46857,"(44.2482, -105.5482)",Campbell County
1039,Kentucky,37.8052,-85.466,46779,"(37.8052, -85.466)",Nelson County
1040,Washington,48.3991,-117.8552,46774,"(48.3991, -117.8552)",Stevens County
1041,New York,42.595,-76.0703,46755,"(42.595, -76.0703)",Cortland County
1042,Wisconsin,45.4237,-91.8483,46683,"(45.4237, -91.8483)",Barron County
1043,Oklahoma,33.9623,-96.2598,46528,"(33.9623, -96.2598)",Bryan County
1044,Tennessee,35.4427,-84.2527,46489,"(35.4427, -84.2527)",Monroe County
1045,Iowa,41.898,-90.532,46488,"(41.898, -90.532)",Clinton County
1046,Georgia,34.631,-83.5311,46326,"(34.631, -83.5311)",Habersham County
1047,Virginia,38.0375,-78.4855,46289,"(38.0375, -78.4855)",City of Charlottesville
1048,Minnesota,47.9738,-94.9377,46274,"(47.9738, -94.9377)",Beltrami County
1049,Ohio,40.5609,-84.2217,46263,"(40.5609, -84.2217)",Auglaize County
1050,Indiana,38.9064,-86.0375,46212,"(38.9064, -86.0375)",Jackson County
1051,Wisconsin,43.9457,-90.6178,46208,"(43.9457, -90.6178)",Monroe County
1052,Indiana,41.3248,-86.2618,46208,"(41.3248, -86.2618)",Marshall County
1053,Pennsylvania,40.6104,-77.617,46146,"(40.6104, -77.617)",Mifflin County
1054,Texas,29.8368,-97.6199,46141,"(29.8368, -97.6199)",Caldwell County
1055,Ohio,40.3885,-83.7658,46098,"(40.3885, -83.7658)",Logan County
1056,Mississippi,30.4165,-89.489,46010,"(30.4165, -89.489)",Hancock County
1057,Oklahoma,36.6292,-96.3985,46004,"(36.6292, -96.3985)",Osage County
1058,Arkansas,36.1175,-90.5589,45954,"(36.1175, -90.5589)",Greene County
1059,Pennsylvania,40.3984,-77.2623,45941,"(40.3984, -77.2623)",Perry County
1060,Vermont,42.9906,-72.7139,45857,"(42.9906, -72.7139)",Windham County
1061,Georgia,31.1884,-83.7688,45813,"(31.1884, -83.7688)",Colquitt County
1062,Michigan,41.8878,-84.5929,45698,"(41.8878, -84.5929)",Hillsdale County
1063,California,38.2046,-120.5541,45674,"(38.2046, -120.5541)",Calaveras County
1064,Georgia,30.8637,-83.9193,45665,"(30.8637, -83.9193)",Thomas County
1065,Louisiana,30.8533,-90.0405,45514,"(30.8533, -90.0405)",Washington Parish
1066,Texas,29.9447,-98.7115,45376,"(29.9447, -98.7115)",Kendall County
1067,Texas,32.7864,-95.3821,45341,"(32.7864, -95.3821)",Wood County
1068,Kentucky,37.3088,-87.5408,45223,"(37.3088, -87.5408)",Hopkins County
1069,Wisconsin,44.9466,-91.8964,45221,"(44.9466, -91.8964)",Dunn County
1070,Alabama,32.8479,-86.7188,45140,"(32.8479, -86.7188)",Chilton County
1071,Wisconsin,45.4614,-92.4414,45128,"(45.4614, -92.4414)",Polk County
1072,Indiana,38.8412,-86.4835,45113,"(38.8412, -86.4835)",Lawrence County
1073,Minnesota,47.5095,-93.6319,45054,"(47.5095, -93.6319)",Itasca County
1074,Georgia,32.0145,-81.4436,44995,"(32.0145, -81.4436)",Bryan County
1075,Indiana,39.5237,-85.7917,44940,"(39.5237, -85.7917)",Shelby County
1076,Illinois,39.261,-89.9245,44907,"(39.261, -89.9245)",Macoupin County
1077,Montana,46.0817,-114.1207,44876,"(46.0817, -114.1207)",Ravalli County
1078,Missouri,37.8772,-91.7923,44843,"(37.8772, -91.7923)",Phelps County
1079,Michigan,41.9161,-85.059,44795,"(41.9161, -85.059)",Branch County
1080,Kentucky,37.7958,-87.5729,44770,"(37.7958, -87.5729)",Henderson County
1081,North Carolina,35.494,-76.8598,44711,"(35.494, -76.8598)",Beaufort County
1082,North Carolina,36.4019,-80.2397,44696,"(36.4019, -80.2397)",Stokes County
1083,New York,42.1981,-74.9665,44637,"(42.1981, -74.9665)",Delaware County
1084,North Carolina,35.6817,-82.0493,44629,"(35.6817, -82.0493)",McDowell County
1085,Mississippi,33.2839,-90.9474,44604,"(33.2839, -90.9474)",Washington County
1086,Missouri,38.8355,-91.926,44517,"(38.8355, -91.926)",Callaway County
1087,Kentucky,36.9656,-85.9337,44511,"(36.9656, -85.9337)",Barren County
1088,Illinois,42.3518,-89.6623,44482,"(42.3518, -89.6623)",Stephenson County
1089,Washington,47.1244,-120.6798,44424,"(47.1244, -120.6798)",Kittitas County
1090,Tennessee,35.2173,-87.3956,44377,"(35.2173, -87.3956)",Lawrence County
1091,Mississippi,32.3573,-90.852,44341,"(32.3573, -90.852)",Warren County
1092,Virginia,38.8583,-78.5708,44337,"(38.8583, -78.5708)",Shenandoah County
1093,Pennsylvania,41.1282,-78.9994,44326,"(41.1282, -78.9994)",Jefferson County
1094,Ohio,40.5612,-81.9293,44273,"(40.5612, -81.9293)",Holmes County
