,state,lat,lng,population,location,county
1975,Arkansas,36.2684,-92.6842,16905,"(36.2684, -92.6842)",Marion County
1976,Missouri,38.8435,-92.8101,16893,"(38.8435, -92.8101)",Cooper County
1977,Kentucky,36.7371,-84.4842,16892,"(36.7371, -84.4842)",McCreary County
1978,Texas,32.7463,-100.9164,16883,"(32.7463, -100.9164)",Scurry County
1979,Virginia,37.5722,-78.5288,16869,"(37.5722, -78.5288)",Buckingham County
1980,Iowa,42.3839,-93.2404,16861,"(42.3839, -93.2404)",Hardin County
1981,Illinois,39.6786,-87.7456,16852,"(39.6786, -87.7456)",Edgar County
1982,Mississippi,33.1235,-90.0921,16848,"(33.1235, -90.0921)",Holmes County
1983,Arkansas,35.2957,-90.7711,16827,"(35.2957, -90.7711)",Cross County
1984,Georgia,31.7526,-81.7458,16804,"(31.7526, -81.7458)",Long County
1985,Idaho,45.8441,-115.4675,16787,"(45.8441, -115.4675)",Idaho County
1986,Arkansas,35.5992,-91.2145,16784,"(35.5992, -91.2145)",Jackson County
1987,Illinois,40.8488,-90.615,16760,"(40.8488, -90.615)",Warren County
1988,Illinois,38.8868,-89.4355,16750,"(38.8868, -89.4355)",Bond County
1989,Florida,29.6086,-83.1587,16737,"(29.6086, -83.1587)",Dixie County
1990,Arkansas,36.011,-93.7246,16737,"(36.011, -93.7246)",Madison County
1991,Wisconsin,42.6605,-90.1317,16716,"(42.6605, -90.1317)",Lafayette County
1992,Indiana,39.62,-85.4658,16716,"(39.62, -85.4658)",Rush County
1993,Virginia,37.3142,-80.7029,16711,"(37.3142, -80.7029)",Giles County
1994,South Dakota,42.8325,-96.656,16700,"(42.8325, -96.656)",Plymouth County
1995,Illinois,40.0103,-88.5911,16698,"(40.0103, -88.5911)",Piatt County
1996,Oregon,44.7092,-117.6753,16685,"(44.7092, -117.6753)",Baker County
1997,Wisconsin,45.8992,-91.7912,16685,"(45.8992, -91.7912)",Washburn County
1998,Arizona,33.7294,-113.9815,16681,"(33.7294, -113.9815)",La Paz County
1999,Iowa,41.3307,-94.0155,16609,"(41.3307, -94.0155)",Madison County
2000,West Virginia,39.336,-80.0462,16602,"(39.336, -80.0462)",Taylor County
2001,Iowa,41.6863,-92.0655,16575,"(41.6863, -92.0655)",Iowa County
2002,Wisconsin,45.8627,-92.3676,16561,"(45.8627, -92.3676)",Burnett County
2003,South Carolina,34.1633,-80.2545,16557,"(34.1633, -80.2545)",Lee County
2004,North Dakota,46.2646,-96.9483,16548,"(46.2646, -96.9483)",Richland County
2005,Indiana,40.1209,-87.242,16468,"(40.1209, -87.242)",Fountain County
2006,Colorado,37.5729,-105.7883,16460,"(37.5729, -105.7883)",Alamosa County
2007,New Mexico,34.0072,-106.9303,16453,"(34.0072, -106.9303)",Socorro County
2008,Iowa,42.0372,-95.382,16450,"(42.0372, -95.382)",Crawford County
2009,Iowa,43.0826,-95.1509,16423,"(43.0826, -95.1509)",Clay County
2010,Pennsylvania,41.7449,-77.8958,16390,"(41.7449, -77.8958)",Potter County
2011,Virginia,37.1229,-80.5587,16379,"(37.1229, -80.5587)",City of Radford
2012,Arkansas,34.4274,-90.8489,16373,"(34.4274, -90.8489)",Phillips County
2013,Missouri,36.5946,-89.6517,16341,"(36.5946, -89.6517)",New Madrid County
2014,Indiana,39.7736,-87.2064,16327,"(39.7736, -87.2064)",Parke County
2015,Tennessee,35.2399,-87.7881,16325,"(35.2399, -87.7881)",Wayne County
2016,Mississippi,32.0191,-89.1189,16320,"(32.0191, -89.1189)",Jasper County
2017,Kansas,39.5317,-95.3135,16309,"(39.5317, -95.3135)",Atchison County
2018,Alabama,33.7212,-87.7389,16297,"(33.7212, -87.7389)",Fayette County
2019,Georgia,30.842,-83.5802,16275,"(30.842, -83.5802)",Brooks County
2020,Arkansas,36.0412,-91.107,16258,"(36.0412, -91.107)",Lawrence County
2021,Virginia,37.3723,-78.8126,16253,"(37.3723, -78.8126)",Appomattox County
2022,Georgia,34.8546,-85.5044,16239,"(34.8546, -85.5044)",Dade County
2023,Montana,48.6282,-110.1112,16238,"(48.6282, -110.1112)",Hill County
2024,Kentucky,38.0679,-82.7348,16228,"(38.0679, -82.7348)",Lawrence County
2025,Wisconsin,46.5237,-91.2009,16214,"(46.5237, -91.2009)",Ashland County
2026,Kentucky,37.3652,-84.316,16171,"(37.3652, -84.316)",Rockcastle County
2027,Minnesota,45.9452,-93.2934,16145,"(45.9452, -93.2934)",Kanabec County
2028,Illinois,38.4296,-88.4256,16127,"(38.4296, -88.4256)",Wayne County
2029,Wisconsin,43.2395,-90.931,16123,"(43.2395, -90.931)",Grant County
2030,Missouri,38.2573,-94.34,16101,"(38.2573, -94.34)",Bates County
2031,Tennessee,35.3712,-85.4106,16065,"(35.3712, -85.4106)",Sequatchie County
2032,Wisconsin,46.3149,-90.678,16041,"(46.3149, -90.678)",Ashland County
2033,Nebraska,40.6485,-96.1348,15995,"(40.6485, -96.1348)",Otoe County
2034,Virginia,36.7648,-77.859,15965,"(36.7648, -77.859)",Brunswick County
2035,Kentucky,37.3223,-84.9283,15942,"(37.3223, -84.9283)",Casey County
2036,Tennessee,36.0698,-88.0683,15933,"(36.0698, -88.0683)",Benton County
2037,Texas,31.2965,-95.9957,15928,"(31.2965, -95.9957)",Leon County
2038,Arkansas,33.9972,-94.2412,15913,"(33.9972, -94.2412)",Sevier County
2039,Arkansas,35.5806,-92.5158,15900,"(35.5806, -92.5158)",Van Buren County
2040,California,40.6507,-123.1126,15889,"(40.6507, -123.1126)",Trinity County
2041,Minnesota,46.6082,-93.4155,15859,"(46.6082, -93.4155)",Aitkin County
2042,Kansas,37.5585,-95.3068,15826,"(37.5585, -95.3068)",Neosho County
2043,Kansas,38.6523,-95.7269,15787,"(38.6523, -95.7269)",Osage County
2044,Iowa,41.0318,-91.9489,15785,"(41.0318, -91.9489)",Jefferson County
2045,Kentucky,38.4485,-85.1189,15731,"(38.4485, -85.1189)",Henry County
