,#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT,location,county,state,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2572,2019-03-13,-99.5,32.6,1,"(32.6, -99.5)",Callahan County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2574,2019-03-13,-99.5,32.6,1,"(32.6, -99.5)",Callahan County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2575,2019-03-13,-99.5,32.6,1,"(32.6, -99.5)",Callahan County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2576,2019-03-13,-100.8,32.0,1,"(32.0, -100.8)",Sterling County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2578,2019-03-13,-100.8,32.0,1,"(32.0, -100.8)",Sterling County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2579,2019-03-13,-100.8,32.0,1,"(32.0, -100.8)",Sterling County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2580,2019-03-13,-100.6,32.0,1,"(32.0, -100.6)",Coke County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2582,2019-03-13,-100.6,32.0,1,"(32.0, -100.6)",Coke County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2583,2019-03-13,-100.6,32.0,1,"(32.0, -100.6)",Coke County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2584,2019-03-13,-101.7,33.0,1,"(33.0, -101.7)",Lynn County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2586,2019-03-13,-101.7,33.0,1,"(33.0, -101.7)",Lynn County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2587,2019-03-13,-101.7,33.0,1,"(33.0, -101.7)",Lynn County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2588,2019-03-13,-101.6,33.0,1,"(33.0, -101.6)",Lynn County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2590,2019-03-13,-101.6,33.0,1,"(33.0, -101.6)",Lynn County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2591,2019-03-13,-101.6,33.0,1,"(33.0, -101.6)",Lynn County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2592,2019-03-13,-101.3,33.0,1,"(33.0, -101.3)",Garza County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2594,2019-03-13,-101.3,33.0,1,"(33.0, -101.3)",Garza County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2595,2019-03-13,-101.3,33.0,1,"(33.0, -101.3)",Garza County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2596,2019-03-13,-102.0,34.0,1,"(34.0, -102.0)",Hale County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2598,2019-03-13,-102.0,34.0,1,"(34.0, -102.0)",Hale County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2599,2019-03-13,-102.0,34.0,1,"(34.0, -102.0)",Hale County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2600,2019-03-13,-95.4,30.2,4,"(30.2, -95.4)",Montgomery County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2602,2019-03-13,-95.4,30.2,4,"(30.2, -95.4)",Montgomery County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2603,2019-03-13,-95.4,30.2,4,"(30.2, -95.4)",Montgomery County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2604,2019-03-13,-95.3,30.2,4,"(30.2, -95.3)",Montgomery County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2606,2019-03-13,-95.3,30.2,4,"(30.2, -95.3)",Montgomery County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2607,2019-03-13,-95.3,30.2,4,"(30.2, -95.3)",Montgomery County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2608,2019-03-13,-95.3,30.3,4,"(30.3, -95.3)",Montgomery County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2610,2019-03-13,-95.3,30.3,4,"(30.3, -95.3)",Montgomery County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2611,2019-03-13,-95.3,30.3,4,"(30.3, -95.3)",Montgomery County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2612,2019-03-13,-95.2,30.3,4,"(30.3, -95.2)",Montgomery County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2614,2019-03-13,-95.2,30.3,4,"(30.3, -95.2)",Montgomery County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2615,2019-03-13,-95.2,30.3,4,"(30.3, -95.2)",Montgomery County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2616,2019-03-13,-100.2,30.5,1,"(30.5, -100.2)",Kimble County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2618,2019-03-13,-100.2,30.5,1,"(30.5, -100.2)",Kimble County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2619,2019-03-13,-100.2,30.5,1,"(30.5, -100.2)",Kimble County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2620,2019-03-13,-100.0,30.6,1,"(30.6, -100.0)",Kimble County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2622,2019-03-13,-100.0,30.6,1,"(30.6, -100.0)",Kimble County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2623,2019-03-13,-100.0,30.6,1,"(30.6, -100.0)",Kimble County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2624,2019-03-13,-100.9,30.6,1,"(30.6, -100.9)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2626,2019-03-13,-100.9,30.6,1,"(30.6, -100.9)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2627,2019-03-13,-100.9,30.6,1,"(30.6, -100.9)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2628,2019-03-13,-100.7,30.6,1,"(30.6, -100.7)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2630,2019-03-13,-100.7,30.6,1,"(30.6, -100.7)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2631,2019-03-13,-100.7,30.6,1,"(30.6, -100.7)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2632,2019-03-13,-100.6,30.6,2,"(30.6, -100.6)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2634,2019-03-13,-100.6,30.6,2,"(30.6, -100.6)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2635,2019-03-13,-100.6,30.6,2,"(30.6, -100.6)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2636,2019-03-13,-100.3,30.6,1,"(30.6, -100.3)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2638,2019-03-13,-100.3,30.6,1,"(30.6, -100.3)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2639,2019-03-13,-100.3,30.6,1,"(30.6, -100.3)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2640,2019-03-13,-100.2,30.6,2,"(30.6, -100.2)",Kimble County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2642,2019-03-13,-100.2,30.6,2,"(30.6, -100.2)",Kimble County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2643,2019-03-13,-100.2,30.6,2,"(30.6, -100.2)",Kimble County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2644,2019-03-13,-100.1,30.6,4,"(30.6, -100.1)",Kimble County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2646,2019-03-13,-100.1,30.6,4,"(30.6, -100.1)",Kimble County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2647,2019-03-13,-100.1,30.6,4,"(30.6, -100.1)",Kimble County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2648,2019-03-13,-100.0,30.7,2,"(30.7, -100.0)",Menard County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2650,2019-03-13,-100.0,30.7,2,"(30.7, -100.0)",Menard County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2651,2019-03-13,-100.0,30.7,2,"(30.7, -100.0)",Menard County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2652,2019-03-13,-99.9,30.7,2,"(30.7, -99.9)",Menard County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2654,2019-03-13,-99.9,30.7,2,"(30.7, -99.9)",Menard County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2655,2019-03-13,-99.9,30.7,2,"(30.7, -99.9)",Menard County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2656,2019-03-13,-95.5,30.7,4,"(30.7, -95.5)",Walker County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2658,2019-03-13,-95.5,30.7,4,"(30.7, -95.5)",Walker County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2659,2019-03-13,-95.5,30.7,4,"(30.7, -95.5)",Walker County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2660,2019-03-13,-95.3,30.7,4,"(30.7, -95.3)",San Jacinto County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2662,2019-03-13,-95.3,30.7,4,"(30.7, -95.3)",San Jacinto County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2663,2019-03-13,-95.3,30.7,4,"(30.7, -95.3)",San Jacinto County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2664,2019-03-13,-100.8,30.7,1,"(30.7, -100.8)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2666,2019-03-13,-100.8,30.7,1,"(30.7, -100.8)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2667,2019-03-13,-100.8,30.7,1,"(30.7, -100.8)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2668,2019-03-13,-100.7,30.7,1,"(30.7, -100.7)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2670,2019-03-13,-100.7,30.7,1,"(30.7, -100.7)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2671,2019-03-13,-100.7,30.7,1,"(30.7, -100.7)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2672,2019-03-13,-100.6,30.7,1,"(30.7, -100.6)",Sutton County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2674,2019-03-13,-100.6,30.7,1,"(30.7, -100.6)",Sutton County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2675,2019-03-13,-100.6,30.7,1,"(30.7, -100.6)",Sutton County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2676,2019-03-13,-100.5,30.7,1,"(30.7, -100.5)",Schleicher County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2678,2019-03-13,-100.5,30.7,1,"(30.7, -100.5)",Schleicher County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2679,2019-03-13,-100.5,30.7,1,"(30.7, -100.5)",Schleicher County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2680,2019-03-13,-100.3,30.7,1,"(30.7, -100.3)",Schleicher County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2682,2019-03-13,-100.3,30.7,1,"(30.7, -100.3)",Schleicher County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2683,2019-03-13,-100.3,30.7,1,"(30.7, -100.3)",Schleicher County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2684,2019-03-13,-100.2,30.7,2,"(30.7, -100.2)",Schleicher County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2686,2019-03-13,-100.2,30.7,2,"(30.7, -100.2)",Schleicher County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2687,2019-03-13,-100.2,30.7,2,"(30.7, -100.2)",Schleicher County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2688,2019-03-13,-100.1,30.7,2,"(30.7, -100.1)",Menard County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2690,2019-03-13,-100.1,30.7,2,"(30.7, -100.1)",Menard County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2691,2019-03-13,-100.1,30.7,2,"(30.7, -100.1)",Menard County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2692,2019-03-13,-100.0,30.8,1,"(30.8, -100.0)",Menard County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2694,2019-03-13,-100.0,30.8,1,"(30.8, -100.0)",Menard County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2695,2019-03-13,-100.0,30.8,1,"(30.8, -100.0)",Menard County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
2696,2019-03-13,-99.8,30.8,1,"(30.8, -99.8)",Menard County,Texas,March,2019-03-13,15:51:00,2019-03-16,18:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,50,54290
2698,2019-03-13,-99.8,30.8,1,"(30.8, -99.8)",Menard County,Texas,March,2019-03-13,05:50:00,2019-03-13,10:30:00,"Texas: Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,154124
2699,2019-03-13,-99.8,30.8,1,"(30.8, -99.8)",Menard County,Texas,March,2019-03-13,15:00:00,2019-03-14,00:00:00,Texas: Kansas: Oklahoma:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,66000
